nm, %T
472.000000, 12.536950
471.750000, 12.548820
471.500000, 12.564634
471.250000, 12.577010
471.000000, 12.591656
470.750000, 12.603072
470.500000, 12.617951
470.250000, 12.629693
470.000000, 12.642165
469.750000, 12.653413
469.500000, 12.664664
469.250000, 12.674584
469.000000, 12.685495
468.750000, 12.695530
468.500000, 12.707159
468.250000, 12.717047
468.000000, 12.725732
467.750000, 12.734760
467.500000, 12.745298
467.250000, 12.753364
467.000000, 12.762657
466.750000, 12.769898
466.500000, 12.778226
466.250000, 12.783918
466.000000, 12.791110
465.750000, 12.796222
465.500000, 12.802933
465.250000, 12.806438
465.000000, 12.812734
464.750000, 12.815170
464.500000, 12.820586
464.250000, 12.821301
464.000000, 12.825004
463.750000, 12.826017
463.500000, 12.826197
463.250000, 12.826074
463.000000, 12.827142
462.750000, 12.823240
462.500000, 12.821128
462.250000, 12.820347
462.000000, 12.816886
461.750000, 12.809430
461.500000, 12.807116
461.250000, 12.801695
461.000000, 12.795246
460.750000, 12.788820
460.500000, 12.782427
460.250000, 12.772823
460.000000, 12.761677
459.750000, 12.749537
459.500000, 12.739191
459.250000, 12.730631
459.000000, 12.719561
458.750000, 12.703725
458.500000, 12.689801
458.250000, 12.676134
458.000000, 12.659650
457.750000, 12.642956
457.500000, 12.626399
457.250000, 12.606872
457.000000, 12.589953
456.750000, 12.570018
456.500000, 12.549223
456.250000, 12.529336
456.000000, 12.509427
455.750000, 12.488353
455.500000, 12.466717
455.250000, 12.441825
455.000000, 12.420169
454.750000, 12.394575
454.500000, 12.369562
454.250000, 12.345910
454.000000, 12.317925
453.750000, 12.290458
453.500000, 12.264754
453.250000, 12.235928
453.000000, 12.206072
452.750000, 12.177668
452.500000, 12.146558
452.250000, 12.118805
452.000000, 12.091967
451.750000, 12.062143
451.500000, 12.031892
451.250000, 11.999765
451.000000, 11.967453
450.750000, 11.938688
450.500000, 11.910765
450.250000, 11.880955
450.000000, 11.848161
